,alpha,Прогон экперимента,MSE тренировочное,MSE тестовое,Кроссвалидация,Глубина дерева,Число листов
269,7.938560033704186e-05,2,0.0008196656716921807,0.36593177517125935,0.5255494328813064,11,83
270,7.984021205476706e-05,2,0.000899505883747059,0.3729573463945119,0.529812010490496,11,82
271,9.1473474494671e-05,2,0.000990979358241617,0.3813703564932791,0.5311865350776642,11,81
272,9.165066527798288e-05,2,0.0010826300235198824,0.42226441772086626,0.5015845089605243,11,80
273,9.358828661855684e-05,2,0.0011762183101383715,0.36259184838782677,0.5204323207231872,11,79
274,0.0001000469789586718,2,0.0012762652890970943,0.3824635726881484,0.5290632897118236,11,78
275,0.00010981327569522155,2,0.0013860785647923882,0.4449600228820906,0.5035879111572953,11,77
276,0.00011066388033934257,2,0.0014967424451316762,0.42296684530843015,0.5291044175047365,11,76
277,0.00012454406152840778,2,0.0014967424451316762,0.37625092817290284,0.5276022934961553,11,76
278,0.0001381186625961583,2,0.001759405169256283,0.365697004893447,0.5159155586013126,11,74
279,0.00016403327536252516,2,0.001923438444618973,0.4252977534544169,0.5282041352416926,11,73
280,0.00016971904286992393,2,0.0020931574874889516,0.42127075930657293,0.5289644435115087,11,72
281,0.0001963582664109598,2,0.002289515753899938,0.366221143556636,0.5143189399850169,11,71
282,0.00020496071904143733,2,0.0024944764729418027,0.37057892300072853,0.5538310284424217,11,70
283,0.00021233450923717186,2,0.002706810982179082,0.41871426599755873,0.5343830707148197,11,69
284,0.00021396899282572775,2,0.0029207799750048356,0.36311497725693104,0.5468092461464275,11,68
285,0.00023923841614452982,2,0.003160018391149377,0.3915562699385057,0.5365841328546299,11,67
286,0.000251802460619019,2,0.003160018391149377,0.37645229688511495,0.5062307788944775,11,67
287,0.0002639310961653636,2,0.003675751947934229,0.4129377934089439,0.536149918794982,11,65
288,0.00039188681793387843,2,0.004067638765868048,0.34649336968013217,0.5310382064086356,11,64
289,0.0004034467656091258,2,0.004067638765868048,0.33722289424256324,0.5222388622662771,11,64
290,0.00042605596729954607,2,0.004897141498776615,0.3720882717061055,0.5298412395501069,11,62
291,0.0004320967501688072,2,0.005329238248944671,0.3405997198419758,0.49873610452888184,11,61
292,0.0004358190140721885,2,0.00576505726301706,0.36604528070621156,0.5329486971564341,11,60
293,0.000444537194637968,2,0.006209594457654256,0.4275258261641186,0.5079186327341759,11,59
294,0.0004596027455581321,2,0.006669197203212639,0.350609621920134,0.5056558060490853,11,58
295,0.0005113551138284125,2,0.006669197203212639,0.35881695451959555,0.5456294030666762,11,58
296,0.0005608108283736095,2,0.007741363145414633,0.3404606661468736,0.5130894851752972,10,56
